ID,Age,Agency,Agency Type,Commision (in value),Destination,Distribution Channel,Duration,Gender,Net Sales,Product Name,Claim
45341,28,C2B,Airlines,28.13,SINGAPORE,Online,34,F,112.5,Silver Plan,1
12958,37,JZI,Airlines,12.95,PHILIPPINES,Online,53,F,37,Basic Plan,0
18233,27,EPX,Travel Agency,0,UNITED STATES,Online,28,,13,Cancellation Plan,0
31742,36,EPX,Travel Agency,0,SAUDI ARABIA,Online,1,,34,Cancellation Plan,0
14381,26,CWT,Travel Agency,23.76,THAILAND,Online,33,,39.6,Rental Vehicle Excess Insurance,0
9279,39,CWT,Travel Agency,59.4,AUSTRALIA,Online,78,,99,Rental Vehicle Excess Insurance,0
6217,34,CWT,Travel Agency,23.76,AUSTRALIA,Online,27,,0,Rental Vehicle Excess Insurance,0
52027,45,JZI,Airlines,9.1,HONG KONG,Online,10,M,26,Basic Plan,0
24167,32,C2B,Airlines,63.21,SINGAPORE,Online,368,M,252.85,Annual Silver Plan,1
19885,59,C2B,Airlines,63.21,SINGAPORE,Online,377,F,252.85,Annual Silver Plan,0
61994,27,C2B,Airlines,5,SINGAPORE,Online,9,M,20,Bronze Plan,0
35976,36,EPX,Travel Agency,0,HONG KONG,Online,74,,16,Cancellation Plan,1
29735,36,EPX,Travel Agency,0,SINGAPORE,Online,19,,80,Cancellation Plan,0
42658,33,C2B,Airlines,17.25,SINGAPORE,Online,27,M,69,Gold Plan,1
60638,50,C2B,Airlines,54,SINGAPORE,Online,364,M,216,Annual Silver Plan,0
17806,36,EPX,Travel Agency,0,CHINA,Online,5,,112,2 way Comprehensive Plan,0
46954,67,C2B,Airlines,54,SINGAPORE,Online,371,F,216,Annual Silver Plan,0
51358,55,CWT,Travel Agency,17.82,UNITED KINGDOM,Online,44,,29.7,Rental Vehicle Excess Insurance,0
21920,47,JZI,Airlines,12.6,BAHRAIN,Online,12,M,36,Basic Plan,0
27267,41,JZI,Airlines,23.45,NETHERLANDS,Online,29,M,67,Value Plan,0
38527,36,EPX,Travel Agency,0,THAILAND,Online,7,,81,2 way Comprehensive Plan,0
6329,36,EPX,Travel Agency,0,SWITZERLAND,Online,177,,59,Cancellation Plan,0
24367,43,JZI,Airlines,51.45,JAPAN,Online,38,M,147,Value Plan,0
40883,35,JZI,Airlines,6.3,MALAYSIA,Online,1,M,18,Basic Plan,0
1720,46,EPX,Travel Agency,0,INDONESIA,Online,1,,20,1 way Comprehensive Plan,0
40960,36,EPX,Travel Agency,0,INDIA,Online,26,,29,2 way Comprehensive Plan,0
39596,51,EPX,Travel Agency,0,UNITED STATES,Online,66,,80,Cancellation Plan,0
62283,53,EPX,Travel Agency,0,BANGLADESH,Online,5,,54,2 way Comprehensive Plan,0
